学号,姓名,性别,年龄,省份,市级,学院,专业,年级,学历,联系方式
20171318000,龙游游,女,18,山东,烟台,电子科学与工程系,电子工程专业,大二,本科,15202479078
20171318001,代银银,女,20,黑龙江,七台河,外国系,西班牙语专业,大二,本科,13900967925
20171318002,赵富灿,男,17,海南,三沙,电子科学与工程系,微电子与光电子学专业,大四,本科,18605648101
20171318003,周玉超,女,17,四川,遂宁,电子科学与工程系,信息电子学专业,大三,本科,13905573643
20171318004,罗玉连,男,24,湖北,鄂州,外国系,日语专业,大一,本科,15209268529
20171318005,周旭,男,21,四川,巴中,外国系,德语专业,大三,本科,13906144897
20171318006,黄安欣,男,20,四川,遂宁,电子科学与工程系,信息电子学专业,大四,本科,13904885821
20171318007,冷开敏,女,20,湖北,黄石,外国系,德语专业,大四,本科,13809447554
20171318008,骆开垚,女,18,黑龙江,双鸭山,外国系,西班牙语专业,大四,本科,18606117520
20171318009,骆湘,女,19,江苏,淮安,电子科学与工程系,微电子与光电子学专业,大四,本科,18202643940
20171318010,彭永丽,男,21,吉林,长春,电子科学与工程系,通信工程专业,大一,本科,13808303814
20171318011,冯树琴,女,24,内蒙古,呼和浩特,外国系,英语专业,大二,本科,18201930380
20171318012,黄太欣,男,20,广西,防城港,外国系,日语专业,大一,本科,18603132047
20171318013,刘红红,男,24,四川,自贡,电子科学与工程系,通信工程专业,大四,本科,18203015855
20171318014,杨成艳,女,24,天津,天津,外国系,日语专业,大一,本科,15205923639
20171318015,胡体兰,男,22,安徽,安庆,电子科学与工程系,通信工程专业,大二,本科,13907741079
20171318016,王敏敏,女,21,甘肃,张掖,电子科学与工程系,电子工程专业,大三,本科,13802858440
20171318017,王婷婷,女,23,河北,保定,外国系,英语专业,大四,本科,15204858595
20171318018,代杨杨,男,18,江苏,苏州,外国系,日语专业,大一,本科,18205979607
20171318019,梁欢,男,22,辽宁,锦州,电子科学与工程系,通信工程专业,大三,本科,18604940800
20171318020,欧阳祥榕,男,22,黑龙江,伊春,电子科学与工程系,通信工程专业,大一,本科,13909820236
20171318021,欧顺雪,女,21,四川,宜宾,外国系,日语专业,大二,本科,13804231139
20171318022,周娜娜,女,22,山东,淄博,外国系,英语专业,大二,本科,15201848205
20171318023,徐伟,男,17,广东,阳江,外国系,英语专业,大一,本科,13901253743
20171318024,刘珊,男,24,湖北,荆州,外国系,西班牙语专业,大一,本科,13801691331
20171318025,王世霞,女,18,浙江,衢州,外国系,西班牙语专业,大四,本科,18202709321
20171318026,欧阳文,女,22,江苏,南京,外国系,日语专业,大一,本科,18204985820
20171318027,李红,女,24,湖北,黄冈,外国系,日语专业,大一,本科,13907531671
20171318028,王真彪,男,24,辽宁,沈阳,外国系,德语专业,大四,本科,18205555325
20171318029,骆书元,男,18,内蒙古,包头,电子科学与工程系,电子工程专业,大四,本科,18202192936
20171318030,黄瑶,女,24,安徽,亳州,电子科学与工程系,电子工程专业,大二,本科,13808011658
20171318031,王华,男,19,内蒙古,通辽,外国系,日语专业,大四,本科,15203966684
20171318032,周扬,女,18,西藏,拉萨,电子科学与工程系,微电子与光电子学专业,大二,本科,13902726112
20171318033,芶茂桓,女,19,吉林,白城,电子科学与工程系,信息电子学专业,大三,本科,18607067019
20171318034,胡体涛,女,21,甘肃,兰州,电子科学与工程系,微电子与光电子学专业,大三,本科,15200963494
20171318035,姚恩敏,男,23,海南,海口,电子科学与工程系,微电子与光电子学专业,大四,本科,13805939781
20171318036,谢旭,男,24,辽宁,抚顺,外国系,西班牙语专业,大四,本科,15202121794
20171318037,聂祥涛,女,17,安徽,黄山,外国系,日语专业,大三,本科,15203044644
20171318038,欧阳周杰,男,23,广西,柳州,外国系,日语专业,大三,本科,18209751174
20171318039,刘林霞,女,22,河南,商丘,外国系,日语专业,大四,本科,13805325231
20171318040,王亮亮,男,24,上海,上海,外国系,德语专业,大三,本科,18601798163
20171318041,张堉,男,17,江苏,连云港,电子科学与工程系,通信工程专业,大一,本科,18603243259
20171318042,黎燕洪,女,17,四川,南充,电子科学与工程系,微电子与光电子学专业,大三,本科,18605671361
20171318043,粟德斌,男,23,宁夏,银川,外国系,英语专业,大二,本科,13901338453
20171318044,陈龙,男,22,辽宁,大连,电子科学与工程系,通信工程专业,大二,本科,18207490643
20171318045,王应利,女,19,湖南,衡阳,电子科学与工程系,电子工程专业,大二,本科,13900227032
20171318046,罗  杉,男,17,甘肃,兰州,外国系,日语专业,大三,本科,13906750701
20171318047,欧阳鹏,男,19,四川,资阳,外国系,西班牙语专业,大三,本科,13907871870
20171318048,周培红,女,23,黑龙江,伊春,电子科学与工程系,电子工程专业,大一,本科,18601488607
20171318049,钱凤,女,22,福建,泉州,外国系,英语专业,大二,本科,13904876019
20171318050,陈青燕,男,18,浙江,舟山,外国系,日语专业,大一,本科,18203852183
20171318051,张泉,女,20,福建,南平,电子科学与工程系,微电子与光电子学专业,大二,本科,18604072478
20171318052,肖松,女,17,内蒙古,乌兰察布,电子科学与工程系,电子工程专业,大二,本科,13907092734
20171318053,方连强,女,23,黑龙江,绥化,电子科学与工程系,电子工程专业,大二,本科,18203438085
20171318054,张昌吉,女,23,江苏,淮安,电子科学与工程系,信息电子学专业,大一,本科,13805808891
20171318055,卢新宇,女,22,黑龙江,鹤岗,外国系,西班牙语专业,大一,本科,18609484066
20171318056,周尧飞,女,18,黑龙江,大庆,外国系,德语专业,大一,本科,15206612464
20171318057,陈兴,男,23,四川,德阳,电子科学与工程系,微电子与光电子学专业,大一,本科,18202252733
20171318058,万舟,女,23,湖南,株洲,电子科学与工程系,通信工程专业,大一,本科,13808628700
20171318059,朱鸿利,女,17,宁夏,固原,电子科学与工程系,电子工程专业,大一,本科,15203417826
20171318060,芶加愉,男,18,福建,漳州,外国系,日语专业,大二,本科,13900145780
20171318061,李孝莹,女,21,广西,贺州,电子科学与工程系,微电子与光电子学专业,大一,本科,18607148215
20171318062,刘娟,男,18,海南,海口,外国系,西班牙语专业,大二,本科,18208910347
20171318063,张珊珊,男,19,宁夏,银川,电子科学与工程系,微电子与光电子学专业,大一,本科,13906496912
20171318064,梁宵,女,21,江苏,淮安,电子科学与工程系,电子工程专业,大三,本科,13906430793
20171318065,张勇,女,18,湖南,湘潭,电子科学与工程系,信息电子学专业,大二,本科,18207274732
20171318066,秦其瑶,男,21,广东,广州,电子科学与工程系,电子工程专业,大四,本科,13908915791
20171318067,陈淮煜,男,21,陕西,咸阳,电子科学与工程系,微电子与光电子学专业,大一,本科,15202110259
20171318068,张宇航,女,20,河南,漯河,外国系,德语专业,大二,本科,18602555090
20171318069,安杰,女,24,黑龙江,哈尔滨,外国系,英语专业,大一,本科,18601947728
20171318070,蔡宇星,女,24,贵州,六盘水,电子科学与工程系,电子工程专业,大二,本科,18200982199
20171318071,欧阳琳琳,女,23,山东,枣庄,电子科学与工程系,微电子与光电子学专业,大四,本科,15206718212
20171318072,夏仁凤,女,23,江苏,徐州,外国系,英语专业,大四,本科,13908086549
20171318073,张艺,男,24,广西,桂林,外国系,德语专业,大二,本科,13807958887
