学号,姓名,课程,应出勤数,实际出勤数,月份
20081318000,龙游游,基础德语,12,10,2011-10
20071318001,代银银,德语口译,15,15,2011-09
20081318002,赵富灿,高级英语,12,11,2012-01
20081318003,周玉超,高级英语,12,12,2012-09
20081318004,罗玉连,基础日语,10,10,2011-12
20071318005,周旭,德汉互译,20,20,2012-06
20071318006,黄安欣,德语泛读,20,20,2012-04
20071318007,冷开敏,德语泛读,15,14,2012-01
20071318008,骆开垚,高级英语,15,15,2011-03
20071318009,骆湘,高级英语,15,12,2012-10
20071318010,彭永丽,德语写作,20,20,2011-05
20081318011,冯树琴,德语泛读,10,8,2011-10
20081318012,黄太欣,德语写作,10,10,2012-04
20081318013,刘红红,德语听力,10,7,2012-04
20071318014,杨成艳,基础德语,12,12,2011-02
20071318015,胡体兰,德汉互译,20,20,2012-11
20081318016,王敏敏,德语写作,20,20,2011-06
20071318017,王婷婷,基础日语,15,15,2012-08
20081318018,代杨杨,德语听力,12,11,2012-10
20071318019,梁欢,基础英语,15,15,2011-06
20081318020,欧阳祥榕,基础德语,10,10,2011-01
20081318021,欧顺雪,高级英语,15,15,2011-10
20081318022,周娜娜,基础日语,10,8,2011-09
20071318023,徐伟,德语写作,12,12,2011-04
20071318024,刘珊,英语语音,10,9,2012-01
20071318025,王世霞,基础德语,10,10,2012-09
20071318026,欧阳文,英语语音,12,12,2011-04
20071318027,李红,德汉互译,15,15,2012-04
20081318028,王真彪,基础德语,10,9,2011-01
20081318029,骆书元,高级英语,20,19,2012-07
20081318030,黄瑶,德语写作,15,15,2011-12
20081318031,王华,基础英语,12,12,2011-01
20071318032,周扬,基础英语,15,15,2012-10
20071318033,芶茂桓,德语写作,12,12,2011-11
20071318034,胡体涛,基础日语,15,13,2012-06
20081318035,姚恩敏,德语泛读,10,7,2012-12
20081318036,谢旭,基础日语,20,20,2011-08
20071318037,聂祥涛,德语泛读,12,12,2012-10
20081318038,欧阳周杰,英语语音,12,11,2011-01
20071318039,刘林霞,德语写作,15,14,2011-05
20071318040,王亮亮,德汉互译,10,10,2012-11
20071318041,张堉,英语语音,20,20,2011-07
20081318042,黎燕洪,德汉互译,10,8,2012-10
20071318043,粟德斌,英语语音,10,10,2012-09
20071318044,陈龙,基础日语,12,11,2012-09
20071318045,王应利,德语口译,20,20,2011-03
20081318046,罗  杉,基础德语,15,15,2011-06
20071318047,欧阳鹏,基础德语,12,12,2012-07
20071318048,周培红,德语泛读,10,10,2011-10
20081318049,钱凤,基础德语,20,20,2012-01
20081318050,陈青燕,基础日语,10,10,2011-07
20081318051,张泉,德语口译,10,10,2012-01
20071318052,肖松,英语语音,12,12,2011-06
20081318053,方连强,德语听力,12,12,2011-08
20081318054,张昌吉,英语语音,20,20,2011-10
20071318055,卢新宇,基础日语,10,7,2011-07
20071318056,周尧飞,德语泛读,15,15,2012-05
20081318057,陈兴,高级英语,12,12,2011-11
20081318058,万舟,德语泛读,15,12,2012-03
20081318059,朱鸿利,德语口译,10,10,2011-06
20081318060,芶加愉,基础英语,12,12,2011-04
20081318062,刘娟,德语写作,12,12,2011-03
20081318061,李孝莹,德语听力,20,18,2011-08
20081318063,张珊珊,基础德语,20,17,2011-11
20071318064,梁宵,德汉互译,10,7,2012-12
20081318065,张勇,德汉互译,10,9,2011-06
20071318066,秦其瑶,基础日语,20,20,2012-12
20081318067,陈淮煜,英语语音,10,10,2012-06
20081318068,张宇航,德语写作,15,15,2011-06
20081318069,安杰,德语泛读,12,12,2012-05
20081318070,蔡宇星,德语听力,20,19,2012-05
20071318071,欧阳琳琳,基础英语,10,10,2012-11
20081318072,夏仁凤,德语写作,10,9,2012-09
20081318073,张艺,高级英语,10,10,2012-09
20081318074,代旭,基础德语,20,20,2012-05
20081318075,黄姁,德语口译,12,12,2012-02
20071318076,梅骏,基础日语,15,15,2011-12
20081318077,欧兴宽,基础英语,12,10,2011-01
20081318078,龙复艳,高级英语,15,13,2012-04
20071318079,苟艰钱,基础英语,10,10,2011-10
20071318080,周雪,德语泛读,15,15,2011-10
20081318081,周春龙,德语听力,15,15,2011-10
20081318082,陈姚姚,德语口译,12,10,2011-05
20081318083,周尧兰,德语泛读,12,12,2011-10
20071318084,安航航,德语口译,12,12,2011-03
20081318085,梁霞,基础英语,12,12,2011-02
20081318086,肖扬,基础德语,20,19,2011-09
20081318087,杨堂鑫,高级英语,20,18,2012-09
20081318088,陈波,德语听力,10,9,2011-01
20081318089,欧阳祥龄,德语口译,12,11,2011-06
20081318090,王涛,德语写作,12,12,2012-05
20081318091,周艳,英语语音,12,12,2011-09
20081318092,龙莘蛟,基础日语,15,12,2011-02
20081318093,帅宗婷,基础英语,12,10,2012-01
20071318094,程姗姗,德语听力,12,12,2011-09
20081318095,冯霞,德语口译,15,13,2012-07
20071318096,王宏云,基础日语,12,12,2011-10
20071318097,张艳,德语听力,10,10,2012-08
20081318098,陈兴裕,德语口译,12,12,2011-01
20081318099,周念,德语写作,12,12,2011-08
