学号,姓名,性别,年龄,省份,市级,学院,专业,年级,学历,联系方式
20171318000,龙游游,男,21,内蒙古,赤峰,社会系,心理学专业,大三,本科,15208198284
20171318001,代银银,女,20,山西,忻州,文学系,文学专业,大二,本科,13907059374
20171318002,赵富灿,女,21,吉林,通化,物理系,光电科学专业,大一,本科,15207467584
20171318003,周玉超,女,22,四川,南充,外国系,日语专业,大三,本科,13904117129
20171318004,罗玉连,男,22,西藏,拉萨,物理系,现代物理专业,大一,本科,15208679776
20171318005,周旭,女,19,吉林,白城,电子科学与工程系,微电子与光电子学专业,大三,本科,13903642375
20171318006,黄安欣,男,23,广东,清远,物理系,物理学专业,大二,本科,15206098237
20171318007,冷开敏,男,23,陕西,安康,化学化工系,地球科学专业,大一,本科,13800190327
20171318008,骆开垚,男,21,河南,商丘,外国系,国际商务专业,大一,本科,15205996037
20171318009,骆湘,女,23,湖南,邵阳,文学系,文学专业,大二,本科,13808549972
20171318010,彭永丽,女,17,黑龙江,佳木斯,社会系,心理学专业,大三,本科,13805039998
20171318011,冯树琴,男,17,福建,漳州,文学系,文献学专业,大二,本科,18601793899
20171318012,黄太欣,男,19,山西,忻州,物理系,物理学专业,大二,本科,18603979271
20171318013,刘红红,女,18,山西,太原,文学系,文学专业,大一,本科,13809397740
20171318014,杨成艳,男,19,河南,郑州,文学系,文献学专业,大二,本科,13904879393
20171318015,胡体兰,男,18,广东,阳江,物理系,物理学专业,大三,本科,13905399176
20171318016,王敏敏,女,18,湖北,武汉,物理系,现代物理专业,大三,本科,18604865329
20171318017,王婷婷,男,23,甘肃,兰州,社会系,心理学专业,大三,本科,15201490336
20171318018,代杨杨,男,18,内蒙古,呼和浩特,物理系,光电科学专业,大二,本科,18605783996
20171318019,梁欢,男,18,河北,邯郸,电子科学与工程系,微电子与光电子学专业,大三,本科,13801911235
20171318020,欧阳祥榕,男,22,陕西,安康,物理系,现代物理专业,大二,本科,13908922637
20171318021,欧顺雪,男,19,广西,桂林,电子科学与工程系,信息电子学专业,大二,本科,15206473399
20171318022,周娜娜,女,17,江西,新余,外国系,英语专业,大三,本科,13906705169
20171318023,徐伟,男,23,浙江,舟山,社会系,社会学专业,大一,本科,18608048371
20171318024,刘珊,男,23,海南,海口,社会系,社会学专业,大三,本科,13900153145
20171318025,王世霞,女,18,安徽,六安,社会系,社会学专业,大三,本科,18607103275
20171318026,欧阳文,男,22,吉林,辽源,文学系,戏剧影视艺术专业,大一,本科,15201824958
20171318027,李红,女,18,河北,邢台,电子科学与工程系,电子工程专业,大一,本科,13907887892
20171318028,王真彪,女,20,广西,河池,化学化工系,水科学专业,大三,本科,15205103567
20171318029,骆书元,女,21,河北,石家庄,社会系,心理学专业,大三,本科,13806402743
20171318030,黄瑶,男,18,山西,临汾,社会系,心理学专业,大一,本科,18606542488
20171318031,王华,男,23,四川,攀枝花,电子科学与工程系,电子工程专业,大二,本科,15205223002
20171318032,周扬,男,21,辽宁,朝阳,外国系,英语专业,大一,本科,15200156064
20171318033,芶茂桓,男,21,福建,泉州,化学化工系,地球科学专业,大三,本科,13906409939
20171318034,胡体涛,男,18,海南,三沙,物理系,光电科学专业,大三,本科,15203714339
