学号,姓名,课程,期中成绩,期末成绩
20071318000,龙游游,单片机原理,61,93
20071318000,龙游游,电力电子技术,60,60
20071318000,龙游游,操作系统及原理,60,60
20071318000,龙游游,工程数学,60,60
20081318001,代银银,基础德语,60,70
20081318001,代银银,德语听力,88,60
20081318001,代银银,德语泛读,61,93
20081318001,代银银,德语写作,95,60
20081318001,代银银,德汉互译,60,60
20081318001,代银银,德语口译,60,60
20071318002,赵富灿,复变函数,60,60
20071318002,赵富灿,大学英语,60,60
20071318002,赵富灿,通信原理,60,60
20071318002,赵富灿,自动化原理,93,60
20071318002,赵富灿,离散计算机控制技术,60,60
20081318003,周玉超,复变函数,60,61
20081318003,周玉超,通信原理,60,60
20081318003,周玉超,大学英语,62,60
20081318003,周玉超,自动化原理,80,60
20081318003,周玉超,离散计算机控制技术,60,60
20071318004,罗玉连,基础日语,60,96
20071318004,罗玉连,高级日语,60,60
20071318004,罗玉连,日语语音,60,68
20071318004,罗玉连,日语语法,60,99
20071318004,罗玉连,日语写作,60,72
20071318004,罗玉连,日本文学,97,61
20081318005,周旭,基础日语,71,72
20081318005,周旭,高级日语,60,60
20081318005,周旭,日语语音,77,60
20081318005,周旭,日语语法,60,62
20081318005,周旭,日语写作,76,67
20081318005,周旭,日本文学,64,62
20081318006,黄安欣,基础日语,60,60
20081318006,黄安欣,高级日语,60,71
20081318006,黄安欣,日语语音,73,71
20081318006,黄安欣,日语语法,60,60
20081318006,黄安欣,日语写作,79,85
20081318006,黄安欣,日本文学,91,60
20081318007,冷开敏,复变函数,75,60
20081318007,冷开敏,大学英语,60,98
20081318007,冷开敏,通信原理,60,88
20081318007,冷开敏,自动化原理,60,60
20081318007,冷开敏,离散计算机控制技术,72,91
20071318008,骆开垚,单片机原理,60,60
20071318008,骆开垚,电力电子技术,60,91
20071318008,骆开垚,操作系统及原理,60,79
20071318008,骆开垚,工程数学,60,60
20071318009,骆湘,复变函数,60,60
20071318009,骆湘,大学英语,72,86
20071318009,骆湘,通信原理,60,60
20071318009,骆湘,自动化原理,60,60
20071318009,骆湘,离散计算机控制技术,60,61
20081318010,彭永丽,复变函数,99,73
20081318010,彭永丽,大学英语,90,60
20081318010,彭永丽,通信原理,79,86
20081318010,彭永丽,自动化原理,60,60
20081318010,彭永丽,离散计算机控制技术,60,99
20071318011,冯树琴,单片机原理,60,63
20071318011,冯树琴,电力电子技术,60,60
20071318011,冯树琴,操作系统及原理,60,83
20071318011,冯树琴,工程数学,60,60
20081318012,黄太欣,基础德语,60,60
20081318012,黄太欣,德语听力,60,60
20081318012,黄太欣,德语泛读,66,92
20081318012,黄太欣,德语写作,63,60
20081318012,黄太欣,德汉互译,92,74
20081318012,黄太欣,德语口译,60,60
20081318013,刘红红,复变函数,65,60
20081318013,刘红红,大学英语,96,60
20081318013,刘红红,通信原理,62,90
20081318013,刘红红,自动化原理,60,60
20081318013,刘红红,离散计算机控制技术,93,62
20071318014,杨成艳,基础西班牙语,65,60
20071318014,杨成艳,高级西班牙语,60,60
20071318014,杨成艳,西班牙语文学,89,60
20071318014,杨成艳,西班牙互译,68,60
20071318014,杨成艳,西班牙口译,99,72
20081318015,胡体兰,基础德语,66,68
20081318015,胡体兰,德语听力,90,60
20081318015,胡体兰,德语泛读,60,60
20081318015,胡体兰,德语写作,60,94
20081318015,胡体兰,德汉互译,60,60
20081318015,胡体兰,德语口译,94,64
20071318016,王敏敏,模拟电子技术,60,75
